b	c	d
0.271463783738343	-5.55111512312578E-17	-0.203637341720558
-0.33944824142333	-0.610912025161674	0.182182847819189
-1.01472374828911	-0.100603615571572	0.217404860492886
-0.563716397953596	0.54221569260786	-0.180621074009474

b	c	d
0.994137902038146	0	-0.15266691723025
0.536137150347397	-0.458000751690749	-0.0103099566388628
-0.410794222950689	-0.503601843855576	0.146218648040451
-0.979341966540488	-0.0812682658432302	0.162687729015923
-0.65381531117918	0.395897999351552	0.0557955324724174
0.305367284941177	0.568374051517824	-0.194232559994789

